InvoiceNo,StockCode,Description,Category,Quantity,UnitPrice,InvoiceDate,CustomerID,Age,Gender,Country,SalesRep,ReturnFlag,Total
INV120704,P0196,Product 196,Beauty,3 units,692.16,06-09-2023 13:29,C000828,48,Male,India,SR015,0,2076.48
INV125135,P0063,Product 63,beauty ,2,129.58,44954,C004929,25,,Australia,SR006,0,259.16
INV104638,P0190,Product 190,GROCERY,4,44.02,18-10-2023 06:38,,53,Male,Inda,SR018,0,176.08
INV181120,P0191,Product 191,TOYZ,-2,691.14,26-04-2023 11:52,C003893,35,Female,USA,SR014,1,-1382.28
INV172046,P0175,Product 175,Home Decor,6,298.45,15-10-2023 11:03,,30,Female,Uk,SR012,0,1790.7
INV124507,P0160,Product 160,Grocery,7,542.09,11-01-2023 16:48,2436,69,Male,USA,SR019,0,3794.63
INV188079,P0077,Product 77,Beauty,8,76.37,45140,,49,Male,Germny,SR007,0,610.96
INV153193,P0112,Product 112,Toys,1,399.01,03-05-2023 17:46,3145,20,Male,U S A,SR016,0,399.01
INV174100,P0058,Product 58,GROCERY,6,253.93,01-01-2023 03:38,C001735,50,Male,U S A,SR011,0,1523.58
INV106844,P0082,Product 82,Health,1 units,794.15 USD,09-11-2023 04:16,C001916,54,Male,Inda,SR013,0,794.15
INV186872,P0008,Product 8,Sports,6,238.56,10-02-2023 20:59,,42,Male,Austalia,SR003,0,1431.36
INV159122,P0070,Product 70,Automotive,1,627.43,21-05-2023 09:39,C003604,43,Female,Germny,SR016,0,627.43
INV159212,P0011,Product 11,Fashion,2,70.9,14-12-2023 07:00,C003000,51,Male,Canada,SR015,0,141.8
INV141784,P0139,Product 139,Fashon,4,659.83,02-06-2023 13:20,C004330,39,Female,Frnace,SR013,0,2639.32
INV152763,P0032,Product 32,Fashion,-2,117.35,03-08-2023 01:21,C000356,33,Male,France,SR015,1,-234.7
INV150396,P0009,Product 9,Automotive,9,790.26,04-08-2023 00:31,C000256,52,Male,Uk,SR011,0,7112.34
INV103117,P0068,Product 68,Electronics,5 units,709.24,"Dec 17, 2023 05:05 AM",C002670,28,Male,Untied States,SR012,0,3546.2
INV180809,P0187,Product 187,Home Decor,4,755.59,19-08-2023 18:24,C000599,46,Male,Frnace,SR009,0,3022.36
INV127736,P0183,,Automotive,4,80.71,"Dec 31, 2023 10:19 AM",C000915,50,Female,U S A,SR009,0,322.84
INV118765,P0173,Product 173,Grocery,6,518.44,16-01-2023 21:02,C004858,59,Female,USA,SR009,0,3110.64
INV171338,P0191,Product 191,Toyz,3,611.34,28-06-2023 08:02,C004981 ,42,Female,Untied States,SR002,0,1834.02
INV174535,P0178,Product 178,Toys,5,951.7,23-07-2023 12:47,C002784,43,Female,Australia,SR007,0,4758.5
INV10944,P0031,Product 31,Health,4 units,353.2,02-02-2023 23:00,C004562,25,Female,Inda,SR017,0,1412.8
INV170537,P0089,Product 89,Home Decor,8,396.44,06-12-2023 14:46,C000362,48,Male,Germny,SR020,0,3171.52
INV144491,P0074,Product 74,Home Decor,4,337.14,45072,C000806,67,Male,Germany,SR010,0,1348.56
INV138503,P0104,Product 104,beauty ,1,207.31,15-10-2023 13:29,C001665 ,37,Female,UK,SR012,,207.31
INV124615,P0121,Product 121,home decor,5,588,45077,C001531,33,Female,USA,SR013,0,2940
INV153382,P0073,Product 73,Automotive,9,452.23,20-03-2023 07:29,C003863,48,Male,Australia,SR014,0,4070.07
INV126921,P0078,Product 78,Books,2,475.7,11-11-2023 04:30,C003768,27,Male,Untied States,SR011,0,951.4
INV139451,P0107,Product 107,home decor,1,740.28,05-10-2023 07:44,C001030,66,Female,UK,SR015,0,740.28
INV163297,P0074,Product 74,HOME DECOR,3,369.43 USD,30-04-2023 09:28,C004091,64,Male,Frnace,SR004,0,1108.29
INV120944,P0131,Product 131,HOME DECOR,4,411.85,25-10-2023 19:05,C001357,60,Male,Inda,SR018,0,1647.4
INV108996,P0067,Product 67,Health,5,892.25,29-12-2023 19:51,C004162,43,Female,Untied States,SR006,0,4461.25
INV151063,P0052,Product 52,SPORTS,5,697.64,18-03-2023 12:35,C003791,18,,Germany,SR010,0,3488.2
INV166932,P0040,Product 40,Toyz,8,163.21,28-03-2023 04:16,C000383,67,Female,Frnace,SR018,0,1305.68
INV125327,P0091,Product 91,Automotive,5,204.25,22-09-2023 19:26,C003729,68,Female,Uk,SR018,0,1021.25
INV180027,P0183,Product 183,Automotive,9,283.37,03-10-2023 02:06,C000884,56,Female,Untied States,SR011,0,2550.33
INV110026,P0076,Product 76,Electronics,5,18.39,16-12-2023 06:12,C002713,28,Male,Canad,SR017,0,91.95
INV177343,P0162,Product 162,electronisc,2,$741.20,45214,C002838,36,Female,UK,SR017,0,1482.4
INV133068,P0133,Product 133,GROCERY,8,312,03-11-2023 18:39,,35,Female,Germny,SR004,,2496
INV133169,P0163,Product 163,Toyz,5,885.54,11-06-2023 00:20,C001996,37,Male,Untied States,SR020,0,4427.7
INV138097,P0141,Product 141,Health,8,247.61,27-11-2023 08:26,C002664,49,Female,Inda,SR018,0,1980.88
INV151408,P0151,Product 151,Toyz,8,15.58,26-08-2023 15:10,C001333,65,Male,USA,SR001,0,124.64
INV102502,P0121,Product 121,home decor,7,358.79,07-02-2023 03:15,C003499,68,Male,Austalia,SR002,0,2511.53
INV193783,P0162,Product 162,electronisc,1,721.91,19-01-2023 08:45,C000900,56,Female,France,SR010,0,721.91
INV163957,P0040,Product 40,Toyz,6,739.25,04-12-2023 15:46,,57,Male,Canad,SR005,0,4435.5
INV195219,P0062,Product 62,Health,6,259.38,07-03-2023 18:23,C001558,48,Female,Inda,SR015,0,1556.28
INV138624,P0096,Product 96,beauty ,5,884.91,27-10-2023 03:23,C004188,48,Male,Canada,SR005,0,4424.55
INV159759,P0014,Product 14,Fashion,1,792.25,18-12-2023 02:40,C000575,28,Male,U S A,SR004,0,792.25
INV185213,P0010,Product 10,Home Decor,9,979.5,22-04-2023 17:06,C001731 ,49,Female,Untied States,SR012,0,8815.5
INV143112,P0027,Product 27,Health,7,$744.06,20-12-2023 00:36,C004152,66,Female,Canad,SR002,0,5208.42
INV160969,P0059,Product 59,home decor,8,22.5,45237,C004929,25,Male,Australia,SR018,0,180
INV195777,P0024,Product 24,Home Decor,4,600.31,13-08-2023 18:37,C004915,68,Female,France,SR017,0,2401.24
INV124061,P0154,Product 154,Fashion,3,69.31,45012,C003485,32,Male,U S A,SR012,0,207.93
INV165271,P0098,Product 98,Home Decor,3,272.38,16-11-2023 10:48,C003321,65,Female,Inda,SR020,0,817.14
INV194931,P0120,Product 120,Books,4,54.74,30-03-2023 09:07,C003584,22,Female,Inda,SR013,0,218.96
INV119625,P0016,Product 16,Fashon,2,926.42,28-09-2023 02:46,,60,Male,UK,SR011,0,1852.84
INV114173,P0046,Product 46,Books,7,214.58,05-01-2023 09:50,C003844,56,Female,France,SR015,0,1502.06
INV164187,P0092,Product 92,Home Decor,9,62.02,21-05-2023 15:32,C003583,55,Male,Australia,SR002,0,558.18
INV159401,P0104,Product 104,beauty ,-1,755.66,30-11-2023 20:48,,28,Male,UK,SR012,1,-755.66
INV118399,P0025,Product 25,Beauty,1,810.02,29-06-2023 16:56,C002258,20,Male,UK,SR009,0,810.02
INV156496,P0059,Product 59,Electronics,1,949.68,45094,C000876,34,Female,Germany,SR003,0,949.68
INV131049,P0119,Product 119,Fashion,1,112.57,21-09-2023 09:57,C004847,41,Male,Frnace,SR009,0,112.57
INV194823,P0008,Product 8,Sports,9,70.37,44989,C004061,45,Female,Germny,SR005,0,633.33
INV117413,P0127,Product 127,Electronics,4 units,431.01,16-02-2023 16:22,C000899,47,Male,Canad,SR011,0,1724.04
INV104941,P0079,Product 79,Toys,4 units,$899.88,10-05-2023 00:23,C002337,33,Male,Canad,SR008,0,3599.52
INV128772,P0128,Product 128,Electronics,5,212.8,03-06-2023 10:40,C003423,58,Male,Austalia,SR017,0,1064
INV124328,P0157,Product 157,Electronics,1,470.02,05-05-2023 22:34,C001494,42,Female,Austalia,SR019,0,470.02
INV173475,P0001,Product 1,Toys,8,$339.97,44977,C000768,21,Male,Untied States,SR019,0,2719.76
INV135109,P0023,Product 23,Fashon,3,281.77,10-03-2023 08:04,C004741 ,69,Male,Canada,SR017,0,845.31
INV135926,P0096,Product 96,beauty ,1,598.83,26-07-2023 18:35,C001054,40,Female,Germany,SR018,0,598.83
INV109442,P0131,Product 131,Home Decor,9,874.1,09-03-2023 12:06,C000926,25,Male,UK,SR009,0,7866.9
INV140532,P0013,Product 13,Grocery,4 units,791.35,45232,C001617,53,Female,Germny,SR011,0,3165.4
INV162117,P0168,Product 168,electronisc ,5,824.45,44927,C000328,65,Female,Uk,SR002,0,4122.25
INV146274,P0200,Product 200,Home Decor,3,100.32,09-02-2023 06:00,C000029,58,Female,Germany,SR018,0,300.96
INV113113,P0143,Product 143,Toyz,5,932.4,11-11-2023 06:01,C000027,52,Male,France,SR006,0,"$4,662.00 USD"
INV106976,P0150,Product 150,Toyz,4,173.63,29-09-2023 16:08,C001332,68,Male,USA,SR018,0,694.52
INV147696,P0093,Product 93,Electronics,1,441.93,08-08-2023 16:26,C004287,51,Male,Uk,SR009,0,441.93
INV178888,P0130,Product 130,HEALTH,9,949.62,14-03-2023 01:00,C002770,38,Male,Germany,SR012,0,8546.58
INV177818,P0123,Product 123,Fashon,2,578.55,18-08-2023 17:46,,34,Female,UK,SR008,Y,1157.1
INV108586,P0083,Product 83,Automotive,4,277.98,23-11-2023 08:53,C000284,43,Male,Austalia,SR011,0,1111.92
INV102892,P0060,Product 60,BEAUTY ,4 units,801.71,10-07-2023 06:40,C004216,29,Male,Uk,SR013,0,3206.84
INV194712,P0126,Product 126,Toys,1,353.65 USD,24-01-2023 10:27,C003136,30,Male,Australia,SR015,0,353.65
INV110067,P0087,Product 87 ***,GROCERY,6,118.4,09-05-2023 06:35,C003850,46,Male,Germany,SR018,0,710.4
INV152574,P0028,Product 28,Toys,4,66.54,14-08-2023 22:24,C000999,38,Female,Germny,SR013,0,266.16
INV178614,P0084,Product 84 (,Fashon,1,680.98,45075,C000344,69,Male,India,SR012,0,680.98
INV120598,P0084,Product 84,Fashon,5,550.92,19-06-2023 00:56,C002136,38,Male,UK,SR015,0,2754.6
INV190509,P0089,Product 89  [refurbished],Home Decor,1,830.93,22-09-2023 19:17,C002594,49,Male,Untied States,SR006,0,830.93
INV150803,P0087,Product 87,GROCERY,-1,340.19,18-03-2023 12:32,C002109,9,Female,Canada,SR007,1,-340.19
INV111495,P0005,Product 5,Toys,7,71.58,06-09-2023 12:18,C004191,47,Female,Canada,SR004,0,501.06
INV125355,P0060,Product 60,beauty ,8,448.28,08-08-2023 04:16,C001559,35,Male,Austalia,SR007,0,3586.24
INV185741,P0135,Product 135,Health,1,225.5,12-04-2023 20:29,C004857,66,Female,Austalia,SR013,0,225.5
INV182095,P0090,Product 90,Fashon,9,632.11,45257,C000764,19,Female,Australia,SR008,0,5688.99
INV143053,P0142,Product 142,Toyz,6,435.2,24-12-2023 22:51,C003509,55,Female,Australia,SR009,0,2611.2
INV189482,P0192,Product 192,Fashion,4,904.99,44985,C004837,22,male,France,SR006,0,3619.96
INV128786,P0017,Product 17,Fashon,3,513.01,19-02-2023 14:09,C000734,54,Female,Australia,SR002,,1539.03
INV193231,P0186,Product 186,Books,6 units,5.84,13-03-2023 06:08,C000977,48,Male,Inda,SR016,0,35.04
INV124909,P0027,Product 27,Health,9,762.94,"Apr 01, 2023 05:00 AM",C001352,61,Male,Canada,SR011,0,6866.46
INV138394,P0030,Product 30,SPORTS,1,427.37,09-04-2023 16:13,C003969,29,Male,USA,SR006,0,427.37
INV142369,P0181,Product 181,Automotive ,-1,57.84,19-07-2023 20:34,C000339,26,MALE,Germany,SR008,1,-57.84
INV115974,P0006,Product 6,electronisc,5,805.89,"Jan 02, 2023 11:05 PM",C002546,28,Female,Germny,SR006,0,4029.45
INV124567,P0110,Product 110,Sports,7,922.59,14-09-2023 16:54,C004592,24,Female,Germany,SR005,0,6458.13
INV146909,P0023,Product 23,Fashon,4,61.44,04-10-2023 02:36,C000392,65,Female,Australia,SR003,0,245.76
INV139456,P0079,Product 79,Toys ,8,375.92,"May 17, 2023 12:34 AM",C000548,66,Female,Australia,SR018,0,3007.36
INV126932,P0011,Product 11,Fashion,5,969.1,45052,C002015,51,Female,Australia,SR001,0,4845.5
INV117608,P0097,Product 97,SPORTS,6,596.91,07-06-2023 14:49,4184,31,Male,India,SR010,0,3581.46
INV164514,P0042,Product 42,Automotive,6,383.07,04-09-2023 15:55,C002038,48,Female,Uk,SR002,0,2298.42
INV164051,P0135,Product 135,Health,3,415.13,01-10-2023 07:14,C000631,44,Male,India,SR003,0,1245.39
INV135758,P0088,Product 88,Beauty,9,133.35,44930,C001242 ,56,Female,Austalia,SR003,0,1200.15
INV118229,P0016,Product 16,Fashon,8,903.05,15-12-2023 12:59,C000981,31,Male,UK,SR014,0,7224.4
INV121111,P0028,Product 28,Toys,3,318.34,24-05-2023 06:03,C000399,42,Female,Austalia,SR010,0,955.02
INV111835,P0109,Product 109,Toyz,2,213.77,45005,1420,32,Male,Austalia,SR018,0,427.54
INV138642,P0064,Product 64,home decor,8,177.01,18-11-2023 12:01,C001203,34,Male,Frnace,SR003,0,1416.08
INV169384,P0200,Product 200,Home Decor,2,509.66,45183,C003089,25,Fem,France,SR010,0,1019.32
INV110633,P0090,Product 90,Fashon ,1,116.42,16-02-2023 22:46,C002752,25,Female,Austalia,SR010,0,116.42
INV189313,P0094,Product 94,Home Decor,5,454.8,19-02-2023 08:14,C002752,25,Female,Inda,SR012,0,2274
INV185709,P0200,Product 200,Home Decor ,4,491.29,16-02-2023 12:07,C004249,56,Female,Austalia,SR016,0,1965.16
INV171666,P0164,Product 164,Grocery,6 units,$912.54,05-10-2023 11:09,C002284,,Female,Frnace,SR011,0,5475.24
INV156958,P0128,Product 128,Electronics,3 units,490.8,26-10-2023 22:31,C004151,18,Female,USA,SR007,0,1472.4
INV101431,P0001,Product 1,Toys,1,483.33,09-12-2023 06:59,,9,Female,Canad,SR007,0,483.33
INV198607,P0097,Product 97,SPORTS,7,782.7,23-08-2023 01:21,C004430,68,Female,Austalia,SR017,0,5478.9
INV174807,P0045,Product 45,Grocery,9,307.31,18-07-2023 13:21,C004288,68,Female,Canada,SR012,0,2765.79
INV145316,P0093,Product 93,Electronics,6,342.12,45129,C003909,40,Female,Canad,SR014,0,2052.72
INV173872,P0015,Product 15,Electronics,6,667.16,22-07-2023 07:51,C003570,36,,Frnace,SR017,0,4002.96
INV169572,P0047,,SPORTS ,4,366.58,09-03-2023 01:10,C001195,23,Male,Uk,SR011,0,1466.32
INV130726,P0050,Product 50,Books,3 units,144.83,45154,C002396,,Male,Austalia,SR002,0,434.49
INV168784,P0184,Product 184,Electronics,3,632.44,"Jul 31, 2023 08:01 PM",C004466,68,Female,Inda,SR009,0,1897.32
INV139634,P0047,Product 47,SPORTS,6 units,$692.36,12-10-2023 05:23,C004269,59,MALE,Frnace,SR019,0,4154.16
INV186041,P0101,Product 101,SPORTS,7,974.27,44949,C004468,34,Female,Germany,SR005,0,6819.89
INV171371,P0089,Product 89,Home Decor,-1,456.02,01-09-2023 13:33,C002783,59,Female,Germany,SR001,1,-456.02
INV138424,P0118,Product 118,Toys,6,919.81,01-07-2023 05:18,C000191,49,Female,France,SR003,0,5518.86
INV179645,P0115,Product 115,electronisc,2,613.45,31-03-2023 19:46,C000077,52,Female,USA,SR006,0,1226.9
INV150030,P0001,Product 1,Toys,5,564.35,06-06-2023 00:42,C002953,60,Male,UK,SR017,0,2821.75
INV188412,P0050,Product 50,Books,9 units,380.2,14-07-2023 02:32,C004987,33,Fem,U S A,SR001,0,3421.8
INV103551,P0140,Product 140,beauty ,9,943.2,29-05-2023 21:09,C001362,56,MALE,Austalia,SR011,0,8488.8
INV190369,P0044,Product 44,Fashion,8,183.98,"Jul 13, 2023 08:11 PM",C001725,47,MALE,Uk,SR004,0,1471.84
INV103936,P0048,Product 48,Fashon,5,51.67,05-02-2023 01:32,C001790,48,Female,USA,SR003,0,258.35
INV128397,P0171,Product 171,Electronics,1,463.15,05-01-2023 06:48,C000743,39,Female,Canada,SR012,0,463.15
INV184249,P0075,Product 75,Home Decor,2,570.05,21-04-2023 13:35,C001219,62,Male,France,SR003,0,"$1,140.10 USD"
INV114969,P0003,Product 3,electronisc,2,719.78,08-09-2023 03:49,C002938,27,Male,Australia,SR006,0,1439.56
INV112119,P0005,Product 5,Toys,9,103.8,05-10-2023 20:03,,21,Male,UK,SR017,0,934.2
INV175532,P0174,Product 174,GROCERY,7,155.23,21-11-2023 03:26,C000096,48,Male,UK,SR005,0,1086.61
INV190439,P0199,Product 199,Health,5,874.93,04-10-2023 00:00,C004368,56,Female,Canad,SR008,0,4374.65
INV119662,P0191,Product 191,Toyz,5,83.48,12-01-2023 21:41,C002684,47,Male,Untied States,SR001,0,417.4
INV185714,P0042,Product 42,Automotive,9,969.95,20-03-2023 10:01,C000338,29,Male,Untied States,SR001,0,8729.55
INV134082,P0025,Product 25 ###,Beauty,4,814.38,20-09-2023 12:49,C003440,57,Female,Uk,SR020,,3257.52
INV121615,P0027,,Health,7,$953.66,22-04-2023 15:02,C000326,66,Male,Canad,SR015,0,6675.62
INV14128,P0037,Product 37,beauty ,4,$327.64,04-09-2023 00:57,C003017,19,Female,Austalia,SR010,0,1310.56
INV120420,P0017,Product 17,Fashon,3,721.39,18-10-2023 23:48,C000775,5,Female,UK,SR008,0,2164.17
INV132095,P0166,Product 166,Fashion,3,116.22,45178,C000314,40,Male,Canad,SR007,0,348.66
INV140901,P0158,Product 158,Fashion,6,$783.02,20-11-2023 03:15,C001970,52,Male,Austalia,SR009,0,4698.12
INV122812,P0084,Product 84,Fashon,3,167.18,17-05-2023 05:54,C004378,20,Male,USA,SR010,0,501.54
INV192446,P0052,Product 52,SPORTS,6,164.28,15-04-2023 01:15,C003468,35,Male,India,SR003,0,985.68
INV164574,P0172,Product 172,HEALTH,4,447.26,01-12-2023 13:42,C002599,25,Male,Uk,SR017,0,1789.04
INV185945,P0098,Product 98,Home Decor,8,735.34,24-05-2023 10:13,C000406,61,Female,India,SR020,0,5882.72
INV193373,P0193,Product 193,Electronics,2,897.19,13-01-2023 21:12,C000387,46,Female,UK,SR011,N,1794.38
INV120355,P0144,Product 144,Fashon ,6,112.25,02-02-2023 18:46,C001479,51,Male,Uk,SR009,0,673.5
INV141348,P0005,Product 5,Toys,1,501.24,04-11-2023 14:02,C003162,61,Female,Inda,SR005,0,501.24
INV107085,P0101,Product 101,SPORTS,4,$32.05,31-03-2023 11:22,C004706,23,Male,France,SR011,0,128.2
INV107316,P0009,Product 9,Automotive,8,657.13,06-09-2023 01:51,C001010,43,Female,France,SR005,0,5257.04
INV19054,P0102,Product 102,Toys,9,587.65,30-01-2023 21:27,C001488,51,Female,Canada,SR019,0,5288.85
INV155400,P0018,Product 18,Toyz,2,559.79 USD,19-01-2023 13:24,C000127,53,Female,Untied States,SR005,0,1119.58
INV120178,P0013,Product 13,Grocery,5,817.43,13-06-2023 01:07,,55,male,UK,SR015,0,4087.15
INV182965,P0020,Product 20,GROCERY,7,808.3,24-08-2023 14:59,C000320,40,Male,Canad,SR005,0,5658.1
INV153784,P0197,Product 197 ###,Beauty,7,591.9,21-05-2023 12:20,C004183,35,Female,U S A,SR008,0,4143.3
INV194529,P0192,Product 192,Fashion,2,46.31,20-02-2023 20:50,C002105 ,63,Female,Austalia,SR013,0,92.62
INV195629,P0095,Product 95,Beauty,4,841.68,07-09-2023 07:14,C002478,67,Male,U S A,SR016,0,3366.72
INV179287,P0183,Product 183,AUTOMOTIVE,6,135.3,15-06-2023 18:07,C000282,25,Male,Germany,SR005,0,811.8
INV183963,P0094,Product 94,HOME DECOR ,2,850.79,05-07-2023 01:51,C002143,5,Male,Canad,SR004,0,1701.58
INV188321,P0098,Product 98,HOME DECOR,2,825.67,25-04-2023 00:42,C002331,34,Female,Canada,SR011,0,1651.34
INV186586,P0114,Product 114,BEAUTY ,8,186.34,22-08-2023 13:53,C002409,24,Male,Canada,SR015,,1490.72
INV122634,P0181,Product 181,Automotive ,6,506.8,03-08-2023 13:48,C002789,51,Male,Uk,SR012,0,3040.8
INV163174,P0060,Product 60,beauty ,4,174.68,18-09-2023 04:15,C000398,,Female,Frnace,SR002,0,698.72
INV140700,P0165,Product 165,Beauty,2 units,661.42,11-06-2023 03:47,C000725,51,Male,U S A,SR006,0,1322.84
INV102859,P0077,Product 77,Beauty,6,113.71,01-12-2023 10:02,C004472,57,Female,Canad,SR015,0,682.26
INV187090,P0172,Product 172,Health,5,918.13,07-12-2023 08:28,C002235,51,Female,Inda,SR001,0,4590.65
INV193164,P0074,Product 74,Home Decor,6,12.74,44954,C001803,37,Male,Inda,SR007,0,76.44
INV131947,P0191,Product 191,Toyz,3,729.91,17-03-2023 14:58,C004267,38,Male,Canad,SR009,0,2189.73
INV149168,P0144,Product 144,FASHON,1 units,132.07,14-04-2023 18:44,C004256,39,Male,France,SR006,0,132.07
INV162187,P0064,Product 64,home decor,1,375.84,19-01-2023 13:50,C001738,25,Male,France,SR001,0,375.84
INV128261,P0095,Product 95,Beauty,4,978.94,44964,C000362,,Male,Australia,SR002,0,3915.76
INV177650,P0077,Product 77,Beauty,9,930.88,05-03-2023 02:41,4666,58,Male,Germny,SR012,0,8377.92
INV138311,P0001,Product 1,Toys,7,240.96,14-03-2023 03:35,C000928,46,Female,Untied States,SR004,0,1686.72
INV192454,P0015,Product 15,Electronics,4,$795.12,22-05-2023 20:16,C000442,53,F,Uk,SR001,0,3180.48
INV115044,P0186,Product 186,Books,2,888.46,25-10-2023 06:28,C002246,49,Male,Australia,SR005,0,1776.92
INV196004,P0108,,Toys,5,152.57,27-07-2023 13:09,C001099,25,Male,Australia,SR013,0,762.85
INV19913,P0142,Product 142,Toyz,5,415.05,18-04-2023 05:20,C001642,56,Male,Germny,SR020,0,2075.25
INV169813,P0007,Product 7,electronisc,7,531.81,45218,C003452,56,Female,Australia,SR013,0,3722.67
INV161329,P0149,Product 149,Beauty,8 units,879.92,15-02-2023 04:10,2211,33,Male,Germny,SR001,0,7039.36
INV128414,P0102,Product 102,Toys,2,604.28,07-02-2023 17:01,C001757,67,Male,Uk,SR015,0,"$1,208.56 USD"
INV106227,P0189,Product 189,GROCERY,9,143.43,16-02-2023 14:31,C000960,35,Female,India,SR016,0,1290.87
INV135472,P0166,Product 166,Fashion,3,771.97 USD,07-07-2023 19:04,C004724,44,Female,Inda,SR013,,2315.91
INV198443,P0020,Product 20,GROCERY,7,687.42,12-03-2023 19:26,C004368,56,Female,Uk,SR003,0,4811.94
INV120168,P0058,Product 58,GROCERY,4,345.36,19-12-2023 05:10,C003400,62,Female,Canad,SR007,0,1381.44
INV101945,P0174,Product 174,GROCERY,5 units,234.85 USD,08-10-2023 12:05,4677,39,Female,USA,SR002,0,1174.25
INV125392,P0156,Product 156,Electronics,8,286.47,28-01-2023 14:23,C004318,43,Female,Austalia,SR019,0,2291.76
INV145288,P0175,Product 175,Home Decor,4,699.16,24-06-2023 21:09,C002857,45,female,USA,SR005,0,"$2,796.64 USD"
INV110141,P0194,Product 194,GROCERY,7,400.82,27-09-2023 06:38,C003922,36,Female,UK,SR007,0,2805.74
INV192502,P0129,Product 129,home decor,1,$904.86,16-12-2023 08:17,C000109,19,Male,Austalia,SR020,0,904.86
INV198322,P0122,Product 122,Grocery,5,$978.75,24-01-2023 17:50,,21,Female,Canada,SR019,0,4893.75
INV108503,P0126,Product 126,Toys,4,341.04,15-06-2023 12:16,C002275,63,Female,U S A,SR015,0,1364.16
INV185725,P0166,Product 166,Fashion,7 units,836.07,30-06-2023 23:09,C001158,26,Male,Uk,SR019,0,5852.49
INV175354,P0146,Product 146,Fashion,7,674.3,26-09-2023 22:24,C001131,27,Female,Frnace,SR010,0,4720.1
INV113401,P0189,Product 189,GROCERY,4,69.81,45132,,48,Female,Canada,SR007,1,279.24
INV175091,P0108,Product 108,Toys,1,330.12,29-06-2023 06:35,C002331,34,Female,U S A,SR014,0,330.12
INV140212,P0072,Product 72,Toyz,2,334.64,12-11-2023 03:48,C000250,49,MALE,UK,SR012,0,669.28
INV113101,P0166,Product 166,Fashion,6,342.56,31-12-2023 00:33,C001588,49,Female,Canad,SR010,0,2055.36
INV129729,P0165,Product 165,Beauty,6,380.69,06-10-2023 17:24,C000035,38,Female,Inda,SR006,0,2284.14
INV188101,P0197,Product 197,Beauty,7,231.99,09-12-2023 19:27,C000137,40,Female,Uk,SR019,0,1623.93
INV177837,P0094,Product 94,Home Decor,7,388,07-08-2023 22:19,C004708,55,Female,UK,SR005,0,2716
INV165588,P0094,Product 94,Home Decor,5 units,702.28,29-09-2023 09:23,C002599,25,Male,Untied States,SR012,0,3511.4
INV114247,P0136,,Beauty,5,253.04,30-03-2023 01:12,C004275,39,Female,Inda,SR004,0,1265.2
INV171981,P0089,Product 89,HOME DECOR,7,458.01,11-03-2023 02:52,C002838,36,Female,Austalia,SR008,0,"$3,206.07 USD"
INV180626,P0046,Product 46,Books,1,280.75,26-11-2023 14:53,C003925,51,Male,USA,SR008,0,280.75
INV199733,P0039,Product 39,SPORTS,3,$902.45,09-10-2023 03:09,C001907,37,Male,USA,SR013,0,2707.35
INV162253,P0010,Product 10,Home Decor,7,861.89,45286,C000418,37,Female,France,SR019,0,6033.23
INV172899,P0153,Product 153 ###,Fashion,1,689.88,20-04-2023 04:02,1321,24,MALE,U S A,SR002,0,689.88
INV164515,P0080,Product 80,Health,2,829.36,10-09-2023 10:22,C002816,62,Female,USA,SR008,0,1658.72
INV190797,P0116,Product 116,Sports,3,284.79,03-10-2023 01:14,C001109,50,Male,Germny,SR005,0,854.37
INV146761,P0148,Product 148,Toyz,5,157.04,"Nov 15, 2023 02:20 AM",C001773,56,Female,U S A,SR011,0,785.2
INV132959,P0138,Product 138,Books,8,674.5,20-10-2023 16:13,C001379,51,Male,Inda,SR019,0,5396
INV117516,P0058,Product 58,GROCERY,2,735.65,45268,1690,32,Male,Inda,SR011,0,1471.3
INV135287,P0093,Product 93 (,Electronics,1,399.92,27-12-2023 04:50,C000580,55,Male,Germany,SR016,0,399.92
INV144898,P0170,Product 170,GROCERY,6,$626.38 USD,45016,C003510,20,Male,Germany,SR009,0,3758.28
INV187735,P0029,Product 29,Sports,1,416.15 USD,07-06-2023 09:57,C003668,64,Male,India,SR011,0,416.15
INV191204,P0031,Product 31,Health,1,648.85,15-02-2023 20:27,C000781,62,Male,Australia,SR018,0,648.85
INV150738,P0150,Product 150,Toyz,9,935,06-03-2023 03:46,C003511,33,Male,Frnace,SR005,0,8415
INV118515,P0078,Product 78,Books,9,986.71,07-01-2023 21:12,C001791,49,Male,Germany,SR006,0,8880.39
INV172987,P0096,Product 96,beauty ,6,64.78,15-09-2023 10:33,C004255,46,Male,India,SR009,0,388.68
INV172983,P0019,Product 19,Books,7,469.82,09-12-2023 16:30,C001111,64,Female,Inda,SR005,0,3288.74
INV107803,P0142,Product 142,Toyz,8,30.19,04-02-2023 23:32,C000214,66,Female,USA,SR004,,241.52
INV169326,P0079,Product 79,Toys,4,507.22,08-11-2023 18:26,C000716 ,27,Male,Germany,SR015,0,2028.88
INV134521,P0038,Product 38,Home Decor,5 units,362.5,30-09-2023 01:14,C003657 ,38,Male,Australia,SR001,0,1812.5
INV143349,P0071,Product 71,electronisc,9,299.37,23-04-2023 06:17,C000057,51,Male,Germany,SR010,0,2694.33
INV120791,P0118,Product 118,Toys,4 units,367.24,29-06-2023 15:46,C003579,44,Male,Canad,SR013,0,1468.96
INV127208,P0064,Product 64,home decor,4,366.95,45244,C004426,54,Male,Uk,SR009,0,1467.8
